"id","cid","smiles","molecular_weight","new_average_distance"
23165296,46179733,"C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)C3=CC=CC(=C3)N","422.2066386920001","0.7202739"
23165297,46179734,"COC(=O)CCCCCCC(=O)NC1=CC(=CC=C1)N2C=C(N=N2)C3=CC=CC=C3","406.2004906920001","0.68605864"
23165337,46179779,"C1=CC=C(C=C1)C2=CN(N=N2)C3=CC=CC(=C3)NC(=O)CCCCCCC(=O)NO","407.19573966","0.8056497"
23165338,46179780,"C1CCC(CC1)C2=CN(N=N2)C3=CC=CC(=C3)NC(=O)CCCCCCC(=O)NO","413.242689852","0.58563745"
23166022,46180546,"CC(C)(C)OC(=O)NC1=CC=CC(=C1)NC(=O)CCCCCCC(=O)OC","378.21547205999997","0.51166755"
23166093,46180625,"COC(=O)CCCCCCC(=O)NC1=CC=CC(=C1)C2=CN(N=N2)C3=CC=C(C=C3)F","424.1910688800001","0.62803644"
23166094,46180626,"COC(=O)CCCCCCC(=O)NC1=CC=CC(=C1)C2=CN(N=N2)C3=CC=C(C=C3)I","532.09713866","0.65209955"
23166096,46180628,"COC(=O)CCCCCCC(=O)NC1=CC=CC(=C1)C2=CN(N=N2)C3=CC(=CC(=C3)F)F","442.1816470680001","0.5937629"
23166097,46180629,"COC(=O)CCCCCCC(=O)NC1=CC=CC(=C1)C2=CN(N=N2)C3=CC=C(C=C3)CO","436.21105537600005","0.6045057"
23166146,46180683,"COC(=O)CCCCCCC(=O)NC1=CC=CC(=C1)C2=CN(N=N2)C3=CC(=CC(=C3)CO)CO","466.22162006","0.5948356"
23166147,46180684,"COC1=C(C=CC(=C1)N2C=C(N=N2)C3=CC(=CC=C3)NC(=O)CCCCCCC(=O)OC)F","454.20163356399996","0.5784604"
23166148,46180685,"CC(C)(C)C1=CC=C(C=C1)N2C=C(N=N2)C3=CC(=CC=C3)NC(=O)CCCCCCC(=O)OC","462.26309094799996","0.6197576"
23166149,46180686,"COC(=O)CCCCCCC(=O)NC1=CC=CC(=C1)C2=CN(N=N2)C3CCCCC3","412.24744088400007","0.5476788"
23166150,46180687,"COC(=O)CCCCCCC(=O)NC1=CC=CC(=C1)C2=CN(N=N2)C3=CC(=CC=C3)[N+](=O)[O-]","451.1855689000001","0.5698818"
23166151,46180688,"COC(=O)CCCCCCC(=O)NC1=CC=CC(=C1)C2=CN(N=N2)C3=CC=CC(=C3)N","421.2113897240001","0.6237187"
23166221,46180758,"C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)C3=CC=C(C=C3)F","425.1863178480001","0.75142425"
23166222,46180759,"C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)C3=CC=C(C=C3)I","533.0923876280001","0.77650446"
23166223,46180760,"C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)C3=CC=C(C=C3)C(F)(F)F","475.1831242880001","0.7447648"
23166224,46180761,"C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)C3=CC(=CC(=C3)F)F","443.17689603600013","0.71000016"
23166225,46180762,"C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)C3=CC=C(C=C3)CO","437.2063043440001","0.71650296"
23166226,46180763,"C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)C3=CC(=CC(=C3)CO)CO","467.2168690280001","0.6937786"
23166448,46181022,"CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)OCCCCO[N+](=O)[O-])O)O)C","553.3250820839999","0.5021128"
