"id","cid","smiles","molecular_weight","average_distance","new_average_distance"
2416624,2867650,"COC1=CC=C(C=C1)C2=NN(C=C2C=NNC(=O)C(C3=CC=CC=C3)O)C4=CC=CC=C4","426.16919056399996","0.5338782","0.5199831"
2487035,2939524,"CC(COC)NC(=O)C=CC1=CC=C(C=C1)OC","249.136493468","0.53625435","0.53625435"
2418356,2869408,"C1=CC=C(C=C1)NC2=CC=C(C=C2)NC(=O)CCCCC(=O)NC3=CC=C(C=C3)NC4=CC=CC=C4","478.2368762","0.66697407","0.65030634"
2339212,2787526,"C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl","342.07712002000005","0.49593633","0.5075467"
2339292,2787608,"CCOC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C=CC3=CC=CC=C3","362.163042564","0.5079275","0.5018524"
2340068,2788514,"CCCCCCNC(=O)C=CC1=CC=C(C=C1)OC","261.172878976","0.5193327","0.5209056"
2340069,2788515,"COC1=CC=C(C=C1)C=CC(=O)NC2CCCCCCCCCCC2","343.25112929600004","0.5177227","0.5188216"
2340164,2788615,"CCCCOC1=CC=C(C=C1)NC(=O)C=CC2=CC=C(C=C2)OC","325.167793596","0.5013158","0.5009932"
2340371,2788850,"CCCCCCCCCCCCCCCCCC(=O)NC1=CC=C(C=C1)Cl","393.27984258","0.5330904","0.52451897"
2487757,2940269,"CC(C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)F","243.105942288","0.48138615","0.51201856"
2492053,2944632,"CCC(C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NCC3=CC=CC=C3","372.183778008","0.51780057","0.51780057"
2342741,2791330,"C1=CC=C(C=C1)C=CC(=O)NCCC(=O)O","219.089543276","0.44981217","0.5015915"
2343024,2791613,"C1=CC=C(C=C1)C=CC(=O)NCC2=CN=CC=C2","238.110613068","0.54129475","0.5257883"
2343083,2791672,"CCCOC1=CC=C(C=C1)C=CC(=O)NCC2=CC=CC=C2","295.15722891200005","0.45699582","0.51251125"
2343528,2792128,"CCCCOC1=CC=C(C=C1)C=CC(=O)NCC2=CC=CC=C2","309.17287897600005","0.45699582","0.5347275"
2343837,2792442,"C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)C=CC3=CC=C(C=C3)F","352.12232062400005","0.5145619","0.5132403"
2344004,2792633,"COC1=CC=C(C=C1)OCC(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O","368.13722174","0.50825936","0.50837356"
2344219,2792848,"CCOC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C=CC3=CC=C(C=C3)F","380.15362075200005","0.51192474","0.50481373"
2345563,2794258,"C1=CC=C(C=C1)COC(=O)NCCCCCCN","250.168127944","0.49543333","0.51538754"
2345564,2794259,"C1=CC=C(C=C1)COC(=O)NCCCCCN","236.15247788","0.49543333","0.51538754"
2346148,2794879,"C1=CC=C2C=C(C=CC2=C1)C(=O)NNC(=O)CCl","262.050905272","0.47409734","0.51974195"
2420820,2871916,"C1CCN(CC1)C2=C3C=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCCCC(=O)O","394.18925731199994","0.50789535","0.5064968"
2421016,2872114,"C1COCCN1C2=C3C=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCCCC(=O)O","396.1685218679999","0.57675683","0.5468347"
2421240,2872341,"C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CC=C3","330.136827816","0.47833183","0.53317964"
